manga_id,score,user,weight
13,9,Dave07,2
13,10,Morayne,1
13,10,Amar_Dikli,1
13,9,TrashDax,1
13,10,sickoxd,0
13,10,WizardSnorkel,0
13,10,arfind,0
13,9,Rocitaku,0
13,9,kucabara26,0
13,9,leoniveli,0
13,9,Kirixa,0
1,10,BorisSoad,229
1,9,kurosaki_kabuto,124
1,10,Trojan_Invasion,58
1,4,Foolness,48
1,9,InformationGeek,48
1,10,crystaldawwn,41
1,10,DynamicDylan,25
1,6,keasty,22
1,9,rokkugoh,14
1,9,Dong_Bong_Wong,13
1,10,N201_ASYLUM,12
1,9,Hikkykun,12
1,5,butekkusu,8
1,8,Po_and_Dong,8
1,10,humanofobia,6
1,8,keisha13ph,5
1,8,Apology,4
1,9,TuesdaysDusk,2
1,7,MangaGreat,2
1,10,MiguelSala,2
1,8,TheJrdzone,1
1,9,syndel,1
1,10,hexashadow13,0
1,10,hamliet,0
1,10,RustyPenny,0
4632,10,voltadelphine,555
4632,10,Asfaria,526
4632,10,milkpunk,331
4632,10,Simonian,252
4632,2,Darmaiad,83
4632,8,psygremlin,100
4632,10,czxcjx,65
4632,4,Stacys__Mom,21
4632,5,Shrabster,16
4632,10,Dietrologia,32
4632,7,Griffith,25
4632,6,lejdcool,22
4632,10,sddsdd,19
4632,10,crystaldawwn,18
4632,10,aurorain,17
4632,10,killjoi97,17
4632,10,SilentKatana,15
4632,10,Causther,15
4632,10,pokeguy123,13
4632,10,HanHen,12
4632,10,orenjizero,11
4632,10,buymepocky,10
4632,8,littlebat12,3
4632,10,kawaiiivan,8
4632,9,lockaholic,8
4632,10,trianglehead,8
4632,10,Shinitaidesu,3
4632,10,DimsTheImmortal,3
4632,9,Alnime,7
4632,10,YabukiJoe,7
4632,10,Plu_is_fine,2
4632,4,bricolo101,2
4632,9,ANTIOTAKUS,2
4632,10,beastboy,6
4632,9,damnitkids,6
4632,10,Shankher,2
4632,10,The-Third-Kira,3
4632,9,nullism,5
4632,10,catullus_d_rus,5
4632,10,Higaroth,5
4632,10,Gloomy_Dog,5
4632,10,gaaldinodesu,5
4632,10,Joms,4
4632,10,UnoPuntoCinco,2
4632,10,Reinshii,2
4632,9,Qwartney,4
4632,10,nheiyan,4
4632,10,aza-nya,1
4632,10,M3Cyberpunk,1
4632,8,Torra27,2
4632,10,TaliZorah,3
4632,10,alter00,3
4632,10,Stonedtanuki,3
4632,9,kirbytycoon,3
4632,10,neeonX,1
4632,10,TravisBickle,2
4632,10,JOHNCH3,2
4632,10,Julius_Light,1
4632,9,YuRamasama,2
4632,10,S1G1NT,1
4632,10,MrGodtaste,1
4632,10,SkyAdvent,1
4632,10,matic12345,1
4632,10,etione,1
4632,9,space_duck,0
4632,10,SinaGfsh,0
4632,9,Kid-Impala,0
4632,10,punpunPolo,0
4632,10,titaniumjew,0
4632,10,MKW43776,0
4632,10,RustyPenny,0
4632,9,hexashadow13,0
4632,10,KillZangetsu,0
4632,10,cariocatrash,0
4632,10,bullhugger,0
4632,9,ZodiacRiver,0
4632,10,error0004,0
4632,9,Nekoshape,0
4632,10,Pointblank66,0
4632,9,littered,0
4632,10,NueiNeko,0
