manga_id,manga_name,manga_rank
102343,Fumetsu no Anata e,187
2895,Piano no Mori,188
3299,Ookami to Koushinryou,189
3572,Tobaku Mokushiroku Kaiji,190
3573,Tobaku Hakairoku Kaiji,191
7458,Death Note Another Note: Los Angeles BB Renzoku Satsujin Jiken,192
29983,Noblesse,193
35171,Can't See Can't Hear But Love,194
43915,Feng Shen Ji II,195
45855,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,196
79193,Fights Break Sphere,197
84255,Hidamari ga Kikoeru,198
93753,Vanitas no Carte,199
10,xxxHOLiC,200
401,Kiseijuu,201
481,Planetes,202
660,Versailles no Bara,203
762,Tokyo Crazy Paradise,204
1461,Sanctuary,205
4258,Hikari to Tomo ni...: Jiheishouji wo Kakaete,206
56755,Hai to Gensou no Grimgar,207
90531,Naruto Shinden Series,208
103701,Beastars,209
85,Azumanga Daioh,210
128,Petshop of Horrors,211
895,Full Metal Panic! Sigma,212
1009,Hachimitsu to Clover,213
1013,Touch,214
1262,Higurashi no Naku Koro ni Kai: Meakashi-hen,215
5744,Ping Pong,216
14236,Love So Life,217
21499,Umineko no Naku Koro ni Chiru - Episode 6: Dawn of the Golden Witch,218
33031,Imawa no Kuni no Alice,219
43921,Sword Art Online: Progressive,220
61307,Rokujouma no Shinryakusha!?,221
107875,Cheese in the Trap Season 3,222
108026,New Danganronpa V3: Minna no Koroshiai Shingakki Comic Anthology,223
113671,Winter Woods,224
267,Hellsing,225
838,Angel Densetsu,226
1033,Let Dai,227
1263,Higurashi no Naku Koro ni Kai: Tsumihoroboshi-hen,228
1600,Black Jack,229
1982,Koori no Mamono no Monogatari,230
7149,Toradora!,231
9548,Higurashi no Naku Koro ni Kai: Minagoroshi-hen,232
15306,Takemitsuzamurai,233
55869,Rokka no Yuusha,234
91209,Gekijouban Gintama: Kanketsu-hen - Yorozuya yo Eien Nare,235
320,Gakuen Alice,236
443,Mars,237
1111,Buddha,238
1414,SKET Dance,239
16593,Private Opinion: Banana Fish Another Story,240
16922,Gakuen Babysitters,241
22986,Ran to Haiiro no Sekai,242
25515,JoJo no Kimyou na Bouken Part 8: JoJolion,243
43857,Buttobi Itto,244
56385,Natsume Yuujinchou,245
92252,Koimonogatari,246
107417,Cheese in the Trap Season 2,247
111211,Cheese in the Trap Season 4,248
113010,Bakemonogatari,249
114787,Shin High School DxD,250
57,Hanazakari no Kimitachi e,251
510,Saiyuuki Reload,252
731,Eden: It's an Endless World!,253
1047,Saint Seiya: The Lost Canvas - Meiou Shinwa,254
1208,Silver Diamond,255
3575,Saikyou Densetsu Kurosawa,256
10978,Major,257
11054,Billy Bat,258
14790,Magi,259
24464,Kyoukaisenjou no Horizon,260
26736,Taiyou no Ie,261
34127,Mahouka Koukou no Rettousei,262
50027,About Death,263
67617,Tate no Yuusha no Nariagari,264
76567,Mitou Shoukan://Blood Sign,265
81117,Tokyo Ghoul:re,266
98176,Boku no Hero Academia: Yuuei Hakusho,267
105084,Jibaku Shounen Hanako-kun,268
18,Kodomo no Omocha,269
585,Hourou Musuko,270
11850,Keishichou Tokuhanka 007,271
16081,Umineko no Naku Koro ni - Episode 3: Banquet of the Golden Witch,272
17904,Kuragehime,273
26027,Mahoutsukai no Yoru,274
56529,Bungou Stray Dogs,275
58027,Tsurezure Children,276
58141,Machida-kun no Sekai,277
62023,Mushishi Tokubetsu-hen: Hihamukage,278
95211,Orange,279
112774,Ojisama to Neko,280
111202,Lookism,281
9,Tsubasa: RESERVoir CHRoNiCLE,282
149,Blame!,283
158,Ghost Hunt,284
583,Claymore,285
4571,Akagami no Shirayuki-hime,286
10865,Touhou Shinigami: Meteor Methuselah Gaiden,287
18251,The Legend of the Sun Knight,288
25409,High School DxD,289
26201,Hikaru ga Chikyuu ni Ita Koro......,290
27231,Hirunaka no Ryuusei,291
59669,Steins;Gate: Eigou Kaiki no Pandora,292
95012,"Kumo desu ga, Nani ka?",293
